id,title,venue,year,authors,doi,abstract,abstract_source
2491,Stopping Criteria for Value Iteration on Stochastic Games with Quantitative Objectives.,lics,2023,"Jan Křetínský, Tobias Meggendorfer, Maximilian Weininger",10.1109/lics56636.2023.10175771,"A classic solution technique for Markov decision processes (MDP) and stochastic games (SG) is value iteration (VI). Due to its good practical performance, this approximative approach is typically preferred over exact techniques, even though no practical bounds on the imprecision of the result could be given until recently. As a consequence, even the most used model checkers could return arbitrarily wrong results. Over the past decade, different works derived stopping criteria, indicating when the precision reaches the desired level, for various settings, in particular MDP with reachability, total reward, and mean payoff, and SG with reachability.In this paper, we provide the first stopping criteria for VI on SG with total reward and mean payoff, yielding the first anytime algorithms in these settings. To this end, we provide the solution in two flavours: First through a reduction to the MDP case and second directly on SG. The former is simpler and automatically utilizes any advances on MDP. The latter allows for more local computations, heading towards better practical efficiency.Our solution unifies the previously mentioned approaches for MDP and SG and their underlying ideas. To achieve this, we isolate objective-specific subroutines as well as identify objective-independent concepts. These structural concepts, while surprisingly simple, form the very essence of the unified solution.",openalex_doi
2707,A Complete Proof System for 1-Free Regular Expressions Modulo Bisimilarity.,lics,2020,"Clemens Grabmayer, Wan Fokkink",10.1145/3373718.3394744,"Robin Milner (1984) gave a sound proof system for bisimilarity of regular expressions interpreted as processes: Basic Process Algebra with unary Kleene star iteration, deadlock 0, successful termination 1, and a fixed-point rule. He asked whether this system is complete. Despite intensive research over the last 35 years, the problem is still open.",openalex_doi
1248,Closed Predicates in Description Logics: Results on Combined Complexity.,kr,2016,"Shqiponja Ahmetaj, Magdalena Ortiz, Mantas Šimkus",https://www.semanticscholar.org/paper/dc1d9ef7a119616af46371d54c38ce07de8147d1,"In many applications of Description Logic (DL) ontologies, complete information—e.g., stemming from relational databases—interacts with incomplete knowledge. Closed predicates allow to leverage information completeness within the standard open-world semantics of DLs. In this paper we study the (combined) complexity of query answering in the presence of closed predicates, establishing tight complexity results for a range of DLs and query languages. Our results show that consistency testing and instance query answering in the presence of closed predicates is NP-complete even for rich dialects of the DL-Lite family. For EL, in contrast, they are EXPTIME-complete, thus as hard as for ALC and some of its extensions. If (unions of) conjunctive queries (UCQs) are considered, the picture is rather bleak, as 2EXPTIME-hardness holds even for DL-LiteR and EL. Our results also imply 2EXPTIME-hardness of query answering in ALCO for the standard open-world setting. Despite these negative results, we can still identify several useful classes of queries for which the increase in complexity is not so drastic.",openalex_title_search
1433,Data-Driven Verification of Procedural Programs with Integer Arrays.,cav,2025,"Ahmed Bouajjani, Wael-Amine Boutglay, Peter Habermehl",https://www.semanticscholar.org/paper/5ffa72d1c584830f2700d23e3dabc0a338818712,"Abstract We address the problem of verifying automatically procedural programs manipulating parametric-size arrays of integers, encoded as a constrained Horn clauses solving problem. We propose a new algorithmic method for synthesizing loop invariants and procedure pre/post-conditions represented as universally quantified first-order formulas constraining the array elements and program variables. We adopt a data-driven approach that extends the decision tree Horn-ICE framework to handle arrays. We provide a powerful learning technique based on reducing a complex classification problem of vectors of integer arrays to a simpler classification problem of vectors of integers . The obtained classifier is generalized to get universally quantified invariants and procedure pre/post-conditions. We have implemented our method and shown its efficiency and competitiveness w.r.t. state-of-the-art tools on a significant benchmark.",openalex_title_search
2339,Reachability and Related Problems in Vector Addition Systems with Nested Zero Tests.,lics,2025,"Roland Guttenberg, Wojciech Czerwiński, Sławomir Lasota",10.1109/lics65433.2025.00050,"Vector addition systems with states (VASS), also known as Petri nets, are a popular model of concurrent systems. Many problems from many areas reduce to the reachability problem for VASS, which consists of deciding whether a target configuration of a VASS is reachable from a given initial configuration. In this paper, we obtain an Ackermannian (primitive-recursive in fixed dimension) upper bound for the reachability problem in VASS with nested zero tests. Furthermore, we provide a uniform approach which also allows to decide most related problems, for example semilinearity and separability, in the same complexity. For some of these problems like semilinearity the complexity was unknown even for plain VASS.",openalex_doi
773,On the Expressive Power of Intermediate and Conditional Effects in Temporal Planning.,kr,2022,"Nicola Gigante, Andrea Micheli, Enrico Scala",10.24963/kr.2022/18,"Automated planning is the task of finding a sequence of actions that reach a desired goal, given a description of their applicability and their effects on the world. In temporal planning, actions have a duration and can overlap in time. In modern temporal planning formalisms, two features have been introduced which are very useful from a modeling perspective, but are not yet thoroughly understood: intermediate conditions and effects (ICE) and conditional effects. The expressive power of such constructs is yet not well comprehended, especially when time is dense, and no minimum separation is required between mutex events. This paper reveals that both ICE and conditional effects do not add expressive power with regards to common temporal planning formalisms. In particular, we show how they can be compiled away using a polynomial-size encoding that makes no assumptions on the time domain. This encoding advances our understanding of these features, and allow their use with simple temporal planners that lack their support. Moreover, it provides a constructive proof that temporal planning with ICE and conditional effects remains PSPACE-complete.",openalex_doi
1330,State Transition in Multi-agent Epistemic Domains Using Answer Set Programming.,lpnmr,2022,"Yusuf Izmirlioglu, Loc Pham, Tran Cao Son, Enrico Pontelli",https://www.semanticscholar.org/paper/ece549f0a85b89eb24404c87dd5e9b8831eb6603,,
1561,The Top-Down Solver Verified: Building Confidence in Static Analyzers.,cav,2024,"Yannick Stade, Sarah Tilscher, Helmut Seidl",https://www.semanticscholar.org/paper/7c5eb2a1a77ebbf8d2d07eb2972618e041c6b429,"Abstract The top-down solver (TD) is a local fixpoint algorithm for arbitrary equation systems. It considers the right-hand sides as black boxes and detects dependencies between unknowns on the fly—features that significantly increase both its usability and practical efficiency. At the same time, the recursive evaluation strategy of the TD, combined with the non-local destabilization mechanism, obfuscates the correctness of the computed solution. To strengthen the confidence in tools relying on the TD as their fixpoint engine, we provide a first machine-checked proof of the partial correctness of the TD. Our proof builds on the observation that the TD can be obtained from a considerably simpler recursive fixpoint algorithm, the plain TD, by applying an optimization that neither affects the termination behavior nor the computed result. Accordingly, we break down the proof into a partial correctness proof of the plain TD, which is only then extended to include the optimization. The backbone of our proof is a mutual induction following the solver’s computation trace. We establish sufficient invariants about the solver state to conclude the correctness of its optimization, i.e., the plain TD terminates if and only if the TD terminates, and they return the identical result. The proof is written using Isabelle/HOL and is available in the archive of formal proofs.",openalex_title_search
1904,Validation of Abstract Side-Channel Models for Computer Architectures.,cav,2020,"Hamed Nemati, Pablo Buiras, Andreas Lindner, Roberto Guanciale, Swen Jacobs",10.1007/978-3-030-53288-8_12,"Observational models make tractable the analysis of information flow properties by providing an abstraction of side channels. We introduce a methodology and a tool, Scam-V, to validate observational models for modern computer architectures. We combine symbolic execution, relational analysis, and different program generation techniques to generate experiments and validate the models. An experiment consists of a randomly generated program together with two inputs that are observationally equivalent according to the model under the test. Validation is done by checking indistinguishability of the two inputs on real hardware by executing the program and analyzing the side channel. We have evaluated our framework by validating models that abstract the data-cache side channel of a Raspberry Pi 3 board with a processor implementing the ARMv8-A architecture. Our results show that Scam-V can identify bugs in the implementation of the models and generate test programs which invalidate the models due to hidden microarchitectural behavior.",openalex_doi
912,Ordinal Polymatrix Games with Incomplete Information.,kr,2020,"Nahla Ben Amor, Hélène Fargier, Régis Sabbadin, Meriem Trabelsi",10.24963/kr.2020/11,"Possibilistic games with incomplete information (Π-games) constitute a suitable framework for the representation of ordinal games under incomplete knowledge. However, representing a Π-game in standard normal form requires an extensive expression of the utility functions and the possibility distribution, namely, on the product spaces of actions and types. In the present work, we propose a less costly view of Π-games, namely min-based polymatrix Π-games, which allows to concisely specify Π-games with local interactions. This framework allows, for instance, the compact representation of coordination games under uncertainty where the satisfaction of an agent is high if and only if her strategy is coherent with all of her neighbors, the game being possibly only incompletely known to the agents. Then, an important result of this paper is to show that a min-based polymatrix Π-game can be transformed, in polynomial time, into a (complete information) min-based polymatrix game with identical pure Nash equilibria. Finally, we show that the latter family of games can be solved through a MILP formulation. Experiments on variants of the GAMUT problems confirm the feasibility of this approach.",openalex_doi
